,RMSE_media,Directional_Accuracy,QLIKE_varianza,MSE_varianza
GNARX_DSTARCH_finale,0.010569939111739913,0.4962962962962963,-8.138443760841437,4.4557469108153224e-08
GNARX_GNGARCH,0.010569939111739913,0.4962962962962963,-8.200463601384712,4.200169783235266e-08
AR_GARCH11_benchmark,0.010379214536073336,0.5064814814814815,-8.263864985202016,4.052823941975766e-08
